i,s,t,capacity
Machine 5,7,2025,5131.0
Machine 5,7,2026,4604.0
Machine 5,7,2027,4032.0
Machine 5,7,2028,4032.0
Machine 5,7,2029,4032.0
Machine 5,7,2030,4032.0
Machine 5,7,2031,4032.0
Machine 5,7,2032,4032.0
Machine 1,8,2025,8520.0
Machine 1,8,2026,8520.0
Machine 1,8,2027,8520.0
Machine 1,8,2028,8520.0
Machine 1,8,2029,8520.0
Machine 1,8,2030,8520.0
Machine 1,8,2031,8520.0
Machine 1,8,2032,8520.0
Machine 2,8,2025,8520.0
Machine 2,8,2026,8520.0
Machine 2,8,2027,8483.0
Machine 2,8,2028,8507.0
Machine 2,8,2029,8483.0
Machine 2,8,2030,8483.0
Machine 2,8,2031,8483.0
Machine 2,8,2032,8507.0
Machine 3,8,2025,8520.0
Machine 3,8,2026,8520.0
Machine 3,8,2027,8483.0
Machine 3,8,2028,8507.0
Machine 3,8,2029,6509.0
Machine 3,8,2030,6509.0
Machine 3,8,2031,6509.0
Machine 3,8,2032,6509.0
Machine 4,8,2025,4852.0
Machine 4,8,2026,3952.0
Machine 4,8,2027,3912.0
Machine 4,8,2028,3936.0
Machine 4,8,2029,3936.0
Machine 4,8,2030,3936.0
Machine 4,8,2031,3936.0
Machine 4,8,2032,3936.0
Machine 5,8,2025,5131.0
Machine 5,8,2026,4604.0
Machine 5,8,2027,4032.0
Machine 5,8,2028,4032.0
Machine 5,8,2029,4032.0
Machine 5,8,2030,4032.0
Machine 5,8,2031,4032.0
Machine 5,8,2032,4032.0
Machine 1,9,2025,8520.0
Machine 1,9,2026,8520.0
Machine 1,9,2027,8520.0
Machine 1,9,2028,8520.0
Machine 1,9,2029,8520.0
Machine 1,9,2030,8520.0
Machine 1,9,2031,8520.0
Machine 1,9,2032,8520.0
Machine 2,9,2025,8520.0
Machine 2,9,2026,8520.0
Machine 2,9,2027,8483.0
Machine 2,9,2028,8507.0
Machine 2,9,2029,8483.0
Machine 2,9,2030,8483.0
Machine 2,9,2031,8483.0
Machine 2,9,2032,8507.0
Machine 3,9,2025,8520.0
Machine 3,9,2026,8520.0
Machine 3,9,2027,8483.0
Machine 3,9,2028,8507.0
Machine 3,9,2029,6509.0
Machine 3,9,2030,6509.0
Machine 3,9,2031,6509.0
Machine 3,9,2032,6509.0
Machine 4,9,2025,4852.0
Machine 4,9,2026,3952.0
Machine 4,9,2027,3912.0
Machine 4,9,2028,3936.0
Machine 4,9,2029,3936.0
Machine 4,9,2030,3936.0
Machine 4,9,2031,3936.0
Machine 4,9,2032,3936.0
Machine 5,9,2025,5131.0
Machine 5,9,2026,4604.0
Machine 5,9,2027,4032.0
Machine 5,9,2028,4032.0
Machine 5,9,2029,4032.0
Machine 5,9,2030,4032.0
