j,s,t,demand
Growth 3,2,2030,3070.038021
Growth 3,2,2031,4124.136222
Growth 3,2,2032,5688.024813
Growth 4,2,2025,0.0
Growth 4,2,2026,0.0
Growth 4,2,2027,0.0
Growth 4,2,2028,0.0
Growth 4,2,2029,0.75
Growth 4,2,2030,35.12
Growth 4,2,2031,119.5
Growth 4,2,2032,105.198
Growth 5,2,2025,0.0
Growth 5,2,2026,0.0
Growth 5,2,2027,14.78274778
Growth 5,2,2028,77.21633571
Growth 5,2,2029,168.7795756
Growth 5,2,2030,235.2845834
Growth 5,2,2031,274.3130356
Growth 5,2,2032,307.8233761
Growth 6,2,2025,0.0
Growth 6,2,2026,0.0
Growth 6,2,2027,0.0
Growth 6,2,2028,404.8659044
Growth 6,2,2029,1127.547098
Growth 6,2,2030,2224.568158
Growth 6,2,2031,3385.53918
Growth 6,2,2032,4198.824283
Growth 7,2,2025,93.73946666
Growth 7,2,2026,187.4789333
Growth 7,2,2027,287.0685692
Growth 7,2,2028,468.1073593
Growth 7,2,2029,610.666967
Growth 7,2,2030,736.5398098
Growth 7,2,2031,796.2716264
Growth 7,2,2032,710.5446219
Growth 8,2,2025,0.0
Growth 8,2,2026,0.0
Growth 8,2,2027,0.0
Growth 8,2,2028,0.0
Growth 8,2,2029,0.0
Growth 8,2,2030,0.0
Growth 8,2,2031,96.39344262
Growth 8,2,2032,545.4421738
Growth 9,2,2025,0.0
Growth 9,2,2026,0.0
Growth 9,2,2027,0.0
Growth 9,2,2028,684.6243048
Growth 9,2,2029,3137.725002
Growth 9,2,2030,6550.566579
Growth 9,2,2031,9302.979184
Growth 9,2,2032,11088.26749
Mature 1,2,2025,38.2
Mature 1,2,2026,38.2
Mature 1,2,2027,38.2
Mature 1,2,2028,61.33333333
Mature 1,2,2029,62.19999999
Mature 1,2,2030,61.33333333
Mature 1,2,2031,91.79059773
Mature 1,2,2032,108.2223361
Mature 2,2,2025,818.0246624
Mature 2,2,2026,839.3377254
Mature 2,2,2027,908.3808986
Mature 2,2,2028,1013.76
Mature 2,2,2029,1079.04
Mature 2,2,2030,897.92
Mature 2,2,2031,810.24
Mature 2,2,2032,1069.461686
Mature 3,2,2025,832.5756098
Mature 3,2,2026,886.5756098
Mature 3,2,2027,810.6839595
Mature 3,2,2028,917.035907
Mature 3,2,2029,875.1454061
Mature 3,2,2030,653.9194086
Mature 3,2,2031,421.7170732
Mature 3,2,2032,421.7170732
Mature 4,2,2025,1821.5
Mature 4,2,2026,2003.5
Mature 4,2,2027,1912.5
Mature 4,2,2028,1734.0
Mature 4,2,2029,1580.5
Mature 4,2,2030,1410.333334
Mature 4,2,2031,1244.333334
Mature 4,2,2032,1078.333334
Decline 1,3,2025,3456.259145
Decline 1,3,2026,3407.943895
Decline 1,3,2027,3113.55503
Decline 1,3,2028,3047.166165
Decline 1,3,2029,2259.22184
Decline 1,3,2030,977.7220551
Decline 1,3,2031,977.7220551
Decline 1,3,2032,607.5554601
Decline 2,3,2025,1097.826268
Decline 2,3,2026,782.7680227
Decline 2,3,2027,823.0560987
Decline 2,3,2028,853.1148208
Decline 2,3,2029,853.1148208
Decline 2,3,2030,793.1148207
Decline 2,3,2031,665.5923062
Decline 2,3,2032,714.3560987
Decline 3,3,2025,2599.0
Decline 3,3,2026,2314.0
Decline 3,3,2027,2188.0
Decline 3,3,2028,1497.667701
Decline 3,3,2029,1171.788571
Decline 3,3,2030,691.2601275
Decline 3,3,2031,492.4739318
Decline 3,3,2032,584.2266571
Decline 4,3,2025,559.68
Decline 4,3,2026,549.68
Decline 4,3,2027,539.68
Decline 4,3,2028,529.68
Decline 4,3,2029,373.12
Decline 4,3,2030,186.5600001
Decline 4,3,2031,0.0
Decline 4,3,2032,0.0
Decline 5,3,2025,1809.32464
Decline 5,3,2026,1297.792
Decline 5,3,2027,1152.897648
Decline 5,3,2028,1152.897648
Decline 5,3,2029,964.182804
Decline 5,3,2030,843.004
Decline 5,3,2031,416.4759425
Decline 5,3,2032,189.5069516
Growth 1,3,2025,0.0
Growth 1,3,2026,0.0
Growth 1,3,2027,0.0
Growth 1,3,2028,0.0
Growth 1,3,2029,0.0
Growth 1,3,2030,0.0
Growth 1,3,2031,0.0
Growth 1,3,2032,0.0
Growth 2,3,2025,0.0
Growth 2,3,2026,0.0
Growth 2,3,2027,0.0
Growth 2,3,2028,115.0
Growth 2,3,2029,460.0
Growth 2,3,2030,1610.0
Growth 2,3,2031,3450.0
Growth 2,3,2032,3758.265744
Growth 3,3,2025,0.0
Growth 3,3,2026,0.0
Growth 3,3,2027,71.55173043
Growth 3,3,2028,365.2770063
Growth 3,3,2029,1442.793851
Growth 3,3,2030,3070.038021
Growth 3,3,2031,4124.136222
Growth 3,3,2032,5688.024813
Growth 4,3,2025,0.0
Growth 4,3,2026,0.0
Growth 4,3,2027,0.0
Growth 4,3,2028,0.055453767
Growth 4,3,2029,3.666261294
Growth 4,3,2030,58.9189185
Growth 4,3,2031,182.947232
Growth 4,3,2032,252.194049
Growth 5,3,2025,0.0
Growth 5,3,2026,0.0
Growth 5,3,2027,14.78274778
Growth 5,3,2028,77.21633571
Growth 5,3,2029,168.7795756
Growth 5,3,2030,235.2845834
Growth 5,3,2031,274.3130356
Growth 5,3,2032,307.8233761
Growth 6,3,2025,0.0
Growth 6,3,2026,127.0
Growth 6,3,2027,289.2264985
Growth 6,3,2028,1451.424447
Growth 6,3,2029,3787.146281
Growth 6,3,2030,7476.161161
Growth 6,3,2031,11429.1313
Growth 6,3,2032,14217.23982
Growth 7,3,2025,93.73946666
Growth 7,3,2026,187.4789333
Growth 7,3,2027,287.0685692
Growth 7,3,2028,468.1073593
Growth 7,3,2029,610.666967
Growth 7,3,2030,736.5398098
Growth 7,3,2031,796.2716264
Growth 7,3,2032,710.5446219
Growth 8,3,2025,0.0
Growth 8,3,2026,0.0
Growth 8,3,2027,0.0
Growth 8,3,2028,0.0
Growth 8,3,2029,0.0
Growth 8,3,2030,0.0
Growth 8,3,2031,96.39344262
