scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
10,0.012345679012345678,Increase,Flat,Increase,Flat,199874.71520712168,181666.51754139242,177763.2164963841,186522.07653479735,200623.5158910734,181666.51754139247,182251.63583286369,181666.51754139242,199874.71520712168
11,0.012345679012345678,Increase,Flat,Increase,Decrease,192937.1334631356,181666.51754139242,170825.6347523979,183787.29457419354,193685.93399291197,181666.5175413925,182251.63583286369,181666.51754139242,192937.13346313554
12,0.012345679012345678,Increase,Flat,Flat,Increase,203197.9479006243,181666.51754139242,181086.44918988674,183053.2856628043,203946.74843040074,181666.51754139244,182251.63583286363,181666.51754139242,203197.94790062436
13,0.012345679012345678,Increase,Flat,Flat,Flat,196405.92433512863,181666.51754139242,174294.42562439103,183053.2856628043,197154.72629720435,181666.51754139247,182251.63583286369,181666.51754139242,196405.92433512863
14,0.012345679012345678,Increase,Flat,Flat,Decrease,189468.34259114254,181666.51754139242,167356.84388040483,180318.50370220048,190217.14312091892,181666.5175413925,182251.63583286369,181666.51754139242,189468.3425911425
15,0.012345679012345678,Increase,Flat,Decrease,Increase,199874.71520712168,181666.51754139242,177763.21649638412,179584.4947908112,200623.51573689812,181666.51754139244,182251.63583286363,181666.51754139242,199874.71520712174
16,0.012345679012345678,Increase,Flat,Decrease,Flat,192937.1334631355,181666.51754139242,170825.63475239795,179584.4947908112,193685.93399291197,181666.51754139247,182251.63583286369,181666.51754139242,192937.13346313554
17,0.012345679012345678,Increase,Flat,Decrease,Decrease,185999.55171914946,181666.51754139242,163888.05300841175,176849.7128302074,186748.35224892583,181666.5175413925,182251.63583286369,181666.51754139242,185999.5517191494
18,0.012345679012345678,Increase,Decrease,Increase,Increase,199437.6507360432,180923.94141601984,176652.23154850685,178473.50984293403,200186.45263879595,180923.94141601978,181509.05970749096,180923.94141601984,199437.65073604323
19,0.012345679012345678,Increase,Decrease,Increase,Flat,192500.06899205717,180923.9414160198,169714.64980452077,178473.50984293403,193248.8695218335,180923.94141601984,181509.05970749102,180923.9414160198,192500.06899205715
20,0.012345679012345678,Increase,Decrease,Increase,Decrease,185562.487248071,180923.94141601978,162777.0680605346,175738.72788233022,186311.28777784735,180923.9414160198,181509.05970749102,180923.94141601978,185562.48724807103
21,0.012345679012345678,Increase,Decrease,Flat,Increase,195968.85986405014,180923.94141601984,173183.4406765138,175004.71897094097,196717.66039382655,180923.9414160198,181509.05970749102,180923.94141601984,195968.85986405017
22,0.012345679012345678,Increase,Decrease,Flat,Flat,189031.27812006412,180923.9414160198,166245.8589325277,175004.71897094097,189780.07864984043,180923.94141601984,181509.05970749102,180923.9414160198,189031.2781200641
23,0.012345679012345678,Increase,Decrease,Flat,Decrease,182093.69637607795,180923.94141601984,159308.27718854154,172269.93701033716,182842.4969058543,180666.67579822277,181251.79408969398,180923.94141601984,182093.69637607798
24,0.012345679012345678,Increase,Decrease,Decrease,Increase,192500.0689920571,180923.94141601984,169714.6498045207,171535.9280989479,193248.8695218335,180923.9414160198,181509.05970749102,180923.94141601984,192500.06899205712
25,0.012345679012345678,Increase,Decrease,Decrease,Flat,185562.48724807103,180923.94141601972,162777.06806053463,171535.9280989479,186311.28777784735,180923.94141601984,181509.05970749102,180923.94141601972,185562.487248071
26,0.012345679012345678,Increase,Decrease,Decrease,Decrease,178624.90550408486,180394.21686490707,155839.48631654846,168801.14613834408,181072.3851720197,179226.64145125003,179811.75974272122,180394.21686490707,178624.90550408483
27,0.012345679012345678,Flat,Increase,Increase,Increase,205323.9645760431,181666.51754139242,183212.46586530548,191585.24097459053,206072.7651058195,181666.51754139244,182251.63583286363,181666.51754139242,205323.96457604316
28,0.012345679012345678,Flat,Increase,Increase,Flat,199874.71520712168,181666.51754139242,177763.21649638412,191585.24097459053,200623.51573689812,181666.51754139244,182251.63583286363,181666.51754139242,199874.7152071218
29,0.012345679012345678,Flat,Increase,Increase,Decrease,192123.9987569309,181666.5175413924,170825.63475239798,185537.9239354108,193685.93399291197,181666.51754139244,182251.63583286363,181666.5175413924,192123.99875693087
30,0.012345679012345678,Flat,Increase,Flat,Increase,203197.94790062433,181666.51754139242,181086.44918988674,188116.45010259748,203946.74843040074,181666.51754139244,182251.63583286363,181666.51754139242,203197.9479006244
31,0.012345679012345678,Flat,Increase,Flat,Flat,196405.92433512863,181666.51754139242,174294.42562439106,188116.45010259748,197154.7264708863,181666.51754139244,182251.63583286363,181666.51754139242,196405.92433512874
32,0.012345679012345678,Flat,Increase,Flat,Decrease,188655.20788493784,181666.51754139242,167356.84388040495,182069.13306341774,190217.1431209189,181666.51754139244,182251.63583286363,181666.51754139242,188655.20788493782
33,0.012345679012345678,Flat,Increase,Decrease,Increase,199874.71520712166,181666.51754139242,177763.2164963841,184647.6592306044,200623.51573689812,181666.51754139244,182251.63583286363,181666.51754139242,199874.7152071217
34,0.012345679012345678,Flat,Increase,Decrease,Flat,192937.13346313554,181666.51754139242,170825.63475239798,184647.6592306044,193685.93399291195,181666.51754139244,182251.63583286363,181666.51754139242,192937.13346313566
35,0.012345679012345678,Flat,Increase,Decrease,Decrease,185186.41701294476,181666.51754139242,163888.0530084119,178600.34219142466,186748.35224892592,181666.51754139244,182251.63583286363,181666.51754139242,185186.41701294473
36,0.012345679012345678,Flat,Flat,Increase,Increase,199437.65073604323,180923.9414160198,176652.23154850682,185105.579932626,200186.45126581966,180923.94141601984,181509.05970749102,180923.9414160198,199437.65073604326
37,0.012345679012345678,Flat,Flat,Increase,Flat,192500.06899205712,180923.94141601984,169714.6498045207,185105.579932626,193248.8695218335,180923.94141601984,181509.05970749102,180923.94141601984,192500.06899205717
38,0.012345679012345678,Flat,Flat,Increase,Decrease,184749.35254186622,180923.94141601978,162777.0680605346,179058.26289344626,185562.487248071,180923.94141601978,181509.05970749096,180923.94141601978,184749.35254186628
39,0.012345679012345678,Flat,Flat,Flat,Increase,195968.85986405017,180923.9414160198,173183.4406765138,181636.78906063293,196717.66118136898,180923.94141601984,181509.05970749102,180923.9414160198,195968.8598640502
40,0.012345679012345678,Flat,Flat,Flat,Flat,189031.27812006406,180923.9414160198,166245.85893252766,181636.78906063293,189780.07881093372,180923.94141601984,181509.05970749102,180923.9414160198,189031.27812006412
41,0.012345679012345678,Flat,Flat,Flat,Decrease,181280.56166987316,180923.9414160198,159308.2771885415,175589.4720214532,182093.69637607795,180923.94141601978,181509.05970749096,180923.9414160198,181280.56166987322
42,0.012345679012345678,Flat,Flat,Decrease,Increase,192500.0689920571,180923.9414160198,169714.64980452074,178167.99818863985,193248.8695218335,180923.94141601984,181509.05970749102,180923.9414160198,192500.06899205712
43,0.012345679012345678,Flat,Flat,Decrease,Flat,185562.487248071,180923.94141601978,162777.06806053457,178167.99818863985,186311.28777784738,180923.94141601978,181509.05970749096,180923.94141601978,185562.48724807103
44,0.012345679012345678,Flat,Flat,Decrease,Decrease,177811.77079788008,180487.26688054847,155839.4863165484,172120.6811494601,181072.38517201965,180487.26688054847,181072.38517201965,180487.26688054847,177811.77079788013
