scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
68,0.012345679012345678,Decrease,Flat,Flat,Decrease,200092.12675875743,199553.4572076487,199553.45720764864,203553.45720764858,203553.4572076486,203553.45720764858,203553.45720764858,199553.45720764864,200092.12675875737
69,0.012345679012345678,Decrease,Flat,Decrease,Increase,207881.09366695388,207602.023899512,207602.02389951196,209201.95906679443,209922.99081159604,203553.45720764858,203553.45720764858,207602.02389951196,207881.09366695382
70,0.012345679012345678,Decrease,Flat,Decrease,Flat,200092.12675875743,199553.4572076487,199553.45720764855,203553.45720764858,203553.4572076486,203553.45720764858,203553.45720764858,199553.4572076487,200092.12675875743
71,0.012345679012345678,Decrease,Flat,Decrease,Decrease,192043.56006689408,191504.89051578532,191504.89051578532,195504.89051578526,195504.8905157853,195504.89051578526,195504.89051578526,191504.89051578534,192043.56006689402
72,0.012345679012345678,Decrease,Decrease,Increase,Increase,215670.06057515036,215650.5905913753,213737.89193613362,209611.75889139943,216292.52441554348,203553.4572076486,203553.4572076486,215650.5905913753,215670.0605751503
73,0.012345679012345678,Decrease,Decrease,Increase,Flat,207881.09366695388,207602.02389951196,207602.02389951202,209201.95906679443,209922.99081159607,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
74,0.012345679012345678,Decrease,Decrease,Increase,Decrease,199832.5269750906,199553.45720764867,199553.45720764867,201153.39237493108,201874.4241197327,195504.8905157853,195504.8905157853,199553.45720764867,199832.52697509056
75,0.012345679012345678,Decrease,Decrease,Flat,Increase,207881.09366695388,207602.02389951202,207602.02389951196,209201.95906679443,209922.99093811,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
76,0.012345679012345678,Decrease,Decrease,Flat,Flat,200092.1267587573,199553.4572076486,199553.45720764858,203553.4572076486,203553.4572076486,203553.4572076486,203553.4572076486,199553.4572076486,200092.12675875734
77,0.012345679012345678,Decrease,Decrease,Flat,Decrease,192043.56006689402,191504.89051578534,191504.89051578532,195504.8905157853,195504.8905157853,195504.8905157853,195504.8905157853,191504.89051578534,192043.56006689405
78,0.012345679012345678,Decrease,Decrease,Decrease,Increase,199832.5269750906,199553.45720764864,199553.45720764864,201153.39237493108,201874.4241197327,195504.89051578526,195504.89051578526,199553.45720764867,199832.52697509062
79,0.012345679012345678,Decrease,Decrease,Decrease,Flat,192043.560066894,191504.89051578534,191504.89051578526,195504.89051578526,195504.89051578526,195504.89051578526,195504.89051578526,191504.89051578534,192043.56006689396
80,0.012345679012345678,Decrease,Decrease,Decrease,Decrease,183994.99337503078,183456.32382392205,183456.323823922,187456.32382392194,187456.32382392194,187456.32382392194,187456.32382392194,183456.32382392205,183994.99337503078
