scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
17,0.025,Flat,Increase,Decrease,Flat,194713.19667011194,194713.19667011194,193803.07074863318,165854.57717601,200819.49866593123,191174.2079066698,191174.2079066698,194713.19667011194,194713.19667011194
18,0.025,Increase,Flat,Increase,Flat,197698.83731379124,197698.83731379124,197726.88627711244,163988.33999629377,204526.69212963444,194924.85928568352,194924.85928568352,197698.83731379124,197698.83731379124
19,0.025,Decrease,Increase,Increase,Increase,223794.8492438854,223794.8492438854,223412.1305130042,198288.1329637214,225176.5131096629,218388.8779227576,218388.8779227576,223794.8492438854,223794.8492438854
20,0.025,Flat,Decrease,Decrease,Flat,196382.86498360182,196382.86498360182,196274.86766461347,197625.89405837003,198330.22358440512,198065.8235193121,198065.8235193121,196382.86498360182,196382.86498360182
21,0.025,Flat,Increase,Flat,Flat,207544.6394136073,207544.6394136073,207110.02367592134,206984.4937853834,208794.96409397037,207743.1476769699,207743.1476769699,207544.6394136073,207544.6394136073
22,0.025,Decrease,Decrease,Decrease,Decrease,181123.92077418984,181123.92077418984,181123.92077418973,181179.89601779674,183040.36113407585,183040.36113407582,183040.36113407582,181123.92077418984,181123.92077418984
23,0.025,Decrease,Decrease,Decrease,Flat,191504.8905157853,191504.8905157853,191504.89051578532,192910.6719882528,194244.85629124835,193071.23527803272,193071.23527803272,191504.8905157853,191504.8905157853
24,0.025,Decrease,Increase,Increase,Flat,195861.3818543863,195861.3818543863,196089.39978154795,189696.47326402518,204364.63521518128,189128.20233712756,189128.20233712756,195861.3818543863,195861.3818543863
25,0.025,Decrease,Increase,Flat,Flat,204041.85464157013,204041.85464157013,203724.35533141598,191073.76217551937,205382.77699401436,200348.23472572447,200348.23472572447,204041.85464157013,204041.85464157013
26,0.025,Flat,Flat,Decrease,Increase,195193.8677391917,195193.8677391917,195326.817169949,191484.55827145025,197341.93159410526,194285.76879012556,194285.76879012556,195193.8677391917,195193.8677391917
27,0.025,Increase,Decrease,Decrease,Flat,191427.56266533243,191427.56266533243,191261.87593281196,162276.71569101315,196425.1291222369,186858.35471915995,186858.35471915995,191427.56266533243,191427.56266533243
28,0.025,Flat,Flat,Flat,Increase,210142.06142755845,210142.06142755845,210142.06142755848,193836.2123342643,211550.82320123445,209252.9858609096,209252.9858609096,210142.06142755845,210142.06142755845
29,0.025,Decrease,Decrease,Increase,Increase,201855.4607985751,201855.4607985751,201692.0915710717,191468.6920698228,203192.00420904654,190644.97260653175,190644.97260653175,201855.4607985751,201855.4607985751
30,0.025,Flat,Increase,Increase,Flat,210793.9014423726,210793.9014423726,210793.90144237265,194404.10880540614,215972.81089724688,209495.39898997045,209495.39898997045,210793.9014423726,210793.9014423726
31,0.025,Flat,Flat,Flat,Decrease,204080.3862436164,204080.3862436164,204080.38624361635,202632.24296719983,205728.87116219802,205201.78650046088,205201.78650046088,204080.3862436164,204080.3862436164
32,0.025,Increase,Decrease,Flat,Decrease,197910.27546216318,197910.27546216318,198238.49887102196,188345.4067400915,199033.83867243753,193350.27021579022,193350.27021579022,197910.27546216318,197910.27546216318
33,0.025,Flat,Decrease,Increase,Increase,219475.2494393372,219475.2494393372,219445.1388491909,219427.06212171155,220375.22173208068,213483.77796184085,213483.77796184085,219475.2494393372,219475.2494393372
34,0.025,Flat,Increase,Increase,Decrease,218817.63100634093,218817.63100634093,218919.95737103553,212402.9783234985,220021.52309833557,213315.2125167896,213315.2125167896,218817.63100634093,218817.63100634093
35,0.025,Decrease,Flat,Decrease,Flat,190617.5507086316,190617.5507086316,190671.5124873894,177986.01160804927,191988.93390086456,191167.68118535596,191167.68118535596,190617.5507086316,190617.5507086316
36,0.025,Increase,Flat,Decrease,Decrease,203168.17305360863,203168.17305360863,202945.46781577505,200870.49798200873,204998.79636264715,200858.74326235798,200858.74326235798,203168.17305360863,203168.17305360863
37,0.025,Flat,Decrease,Increase,Decrease,192959.7642783708,192959.7642783708,192775.63777250663,175038.13052609176,196341.77117949346,187366.17804099372,187366.17804099372,192959.7642783708,192959.7642783708
38,0.025,Increase,Increase,Decrease,Decrease,192458.12293926667,192458.12293926667,191276.6636466964,162668.05167236156,198073.69405001472,183522.44744311768,183522.44744311768,192458.12293926667,192458.12293926667
39,0.025,Decrease,Flat,Increase,Flat,199643.97417407567,199643.97417407567,199491.9444171623,188050.89301141372,200212.3848955712,193228.0196543136,193228.0196543136,199643.97417407567,199643.97417407567
