analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,growth_demand_level,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
3,Launch products vs growth demand level,10,11,3,1,0,45,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171902.75896703074,150849.6951566435,150888.59563619192,8,8,8,5,4,4,21053.063810387248,21014.16333083881,13.95631843241419,13.926939436500648,40,81,success,369.5989899309352,,
3,Launch products vs growth demand level,11,12,3,1,0,50,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,174849.0227933772,150910.14168622028,150962.26881524056,9,8,8,5,4,4,23938.88110715692,23886.75397813664,15.8630035328784,15.82299614705123,40,81,success,354.8544488539919,,
3,Launch products vs growth demand level,12,13,3,1,0,55,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,176784.7418117624,150925.85834152155,150982.74434306467,9,8,8,5,4,4,25858.883470240835,25801.99746869772,17.13350101460164,17.08936844469467,40,81,success,371.3466814549174,,
3,Launch products vs growth demand level,13,14,3,1,0,60,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,180365.97982824303,151577.10722800842,150991.23704965514,9,9,8,6,5,4,28788.87260023461,29374.742778587883,18.992889577269224,19.45460104345504,40,81,success,367.8006630700547,,
3,Launch products vs growth demand level,14,15,2,2,0,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128834.66551525316,100983.1103240599,100118.89881188211,8,6,8,4,3,4,27851.55519119327,28715.76670337105,27.58040933955809,28.681664544999023,40,81,success,343.57636199402623,,
3,Launch products vs growth demand level,15,16,2,2,0,35,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,136189.726526351,101768.87593051176,101243.78110920772,9,7,8,5,4,4,34420.850595839234,34945.94541714329,33.822571273502064,34.5166340433774,40,81,success,381.6049479709473,,
3,Launch products vs growth demand level,16,17,2,2,0,40,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,143649.0503471485,102348.99476206064,101541.81547992885,8,7,8,5,4,4,41300.05558508786,42107.23486721967,40.3521848759742,41.467876724680735,40,81,success,406.68247107602656,,
3,Launch products vs growth demand level,17,18,2,2,0,45,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,148181.2427051444,103006.888612457,101582.809355201,9,8,8,6,5,4,45174.3540926874,46598.4333499434,43.85566315146839,45.872361323464006,40,81,success,391.13581976806745,,
3,Launch products vs growth demand level,18,19,2,2,0,50,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,156186.33437737677,104202.93234167687,101586.50539080672,10,8,8,6,5,4,51983.402035699895,54599.82898657004,49.88669787645571,53.74712790495415,40,81,success,364.72187641006894,,
3,Launch products vs growth demand level,19,20,2,2,0,55,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,162387.9443913484,104419.51924325316,101586.50539080676,10,8,8,6,5,4,57968.42514809524,60801.43900054164,55.51493204355155,59.851885608857614,40,81,success,420.31848997203633,,
3,Launch products vs growth demand level,20,21,2,2,0,60,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168463.85259986226,104444.11380985126,101586.50539080704,10,8,8,7,5,4,64019.73879001101,66877.34720905524,61.29568862689953,65.83290462820393,40,81,success,483.5057633821853,,
3,Launch products vs growth demand level,21,22,1,3,0,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,97268.5662780794,51489.908301376025,50581.60019148918,8,6,8,4,3,4,45778.65797670337,46686.96608659021,88.90802001191362,92.30029479068502,40,81,success,420.91074892599136,,
3,Launch products vs growth demand level,22,23,1,3,0,35,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,108418.58526293108,53086.36321876579,51986.97502889478,9,6,8,5,4,4,55332.22204416528,56431.610234036285,104.23057578109923,108.54951687931668,40,81,success,461.5312593919225,,
3,Launch products vs growth demand level,23,24,1,3,0,40,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,116079.10470414384,53930.467599344585,52174.68684429463,8,5,8,5,4,4,62148.63710479924,63904.4178598492,115.23845401547108,122.48165101701464,40,81,success,421.91116315778345,,
