analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,decline_slope,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
9,Decline products vs decline slope,10,11,3,0,1,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184399.19848921907,183872.16807290656,183260.4867293329,7,7,8,4,4,4,527.0304163125111,1138.7117598861803,0.2866287061473817,0.6213624007056164,40,81,success,45.57831059989985,,
9,Decline products vs decline slope,11,12,3,0,1,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184068.5290225877,183541.49860627443,183005.14288132967,7,7,8,4,4,4,527.0304163132678,1063.3861412579718,0.2871450981468945,0.5810689932072172,40,81,success,62.38906848698389,,
9,Decline products vs decline slope,12,13,3,0,1,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,183673.61927014592,183146.58885383295,182687.77410135115,7,7,8,4,4,4,527.0304163129476,985.8451687947965,0.2877642546395249,0.5396339047011823,40,81,success,51.50402922509238,,
9,Decline products vs decline slope,13,14,3,0,1,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,183381.50004874848,182854.46963243585,182451.30484629868,7,7,8,4,4,4,527.0304163126566,930.1952024498024,0.2882239725241962,0.5098320361333787,40,81,success,51.56705349299591,,
9,Decline products vs decline slope,14,15,3,0,1,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,183188.1572739498,182661.12685763655,182304.56649985464,7,7,8,4,4,4,527.0304163132096,883.5907740951516,0.2885290512436012,0.4846783550514386,40,81,success,52.42795369995292,,
9,Decline products vs decline slope,15,16,3,0,1,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,183037.76479970323,182510.73438339075,182186.60521125369,7,7,8,4,4,4,527.030416312482,851.1595884495473,0.2887668049186503,0.4671910909490788,40,81,success,59.215292330947705,,
9,Decline products vs decline slope,16,17,2,0,2,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169839.03261589355,169448.95375491277,167831.0255317108,6,6,8,4,4,4,390.0788609807787,2008.0070841827544,0.2302043490601778,1.1964456975825082,40,81,success,14.023394925054165,,
9,Decline products vs decline slope,17,18,2,0,2,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169600.14045494088,169210.0615939601,167763.1717343136,6,6,8,4,4,4,390.0788609807787,1836.9687206272797,0.2305293534593822,1.0949773431420844,40,81,success,10.357003686018288,,
9,Decline products vs decline slope,18,19,2,0,2,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169209.45055293402,168819.37169195325,167621.8737939321,6,6,8,4,4,4,390.0788609807787,1587.5767590019095,0.2310628555664573,0.9471178928315857,40,81,success,12.706108252052218,,
9,Decline products vs decline slope,19,20,2,0,2,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168682.34773304715,168292.26887206637,167405.9858202603,6,6,8,4,4,4,390.0788609807787,1276.3619127868442,0.2317865601285057,0.7624350506541878,40,81,success,14.80940724699758,,
9,Decline products vs decline slope,20,21,2,0,2,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168426.21507667215,167598.3108588866,167097.4486221461,7,6,8,4,4,4,827.9042177855445,1328.7664545260486,0.4939812421394975,0.7952045141818772,40,81,success,21.878553209011443,,
9,Decline products vs decline slope,21,22,2,0,2,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168175.8392504345,167596.64349599186,167000.68211695855,7,7,8,4,4,4,579.195754442655,1175.1571334759649,0.3455891134576968,0.7036840320526033,40,81,success,21.844646897050552,,
9,Decline products vs decline slope,22,23,2,0,2,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168098.36939551152,167519.1736410693,167082.8858811386,7,7,8,4,4,4,579.1957544422185,1015.4835143729288,0.345748932407712,0.6077723095442196,40,81,success,21.12246765301097,,
9,Decline products vs decline slope,23,24,2,0,2,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168029.44467830122,167417.16436812235,167210.87741105273,8,7,8,4,4,4,612.2803101788741,818.5672672484943,0.3657213479213947,0.4895418766544829,40,81,success,26.53045270999428,,
9,Decline products vs decline slope,24,25,1,0,3,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151732.70952553116,151559.29339252226,148801.26162331598,5,5,8,4,4,4,173.4161330088973,2931.447902215179,0.1144213126936189,1.970042370766999,40,81,success,8.04358549497556,,
9,Decline products vs decline slope,25,26,1,0,3,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,9.489436145988291,,
9,Decline products vs decline slope,26,27,1,0,3,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151417.3161284196,151222.27669792922,148782.6986567032,5,5,8,4,4,4,195.0394304903748,2634.617471716396,0.1289753300566765,1.770782151085614,40,81,success,8.782423538039438,,
9,Decline products vs decline slope,27,28,1,0,3,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151060.21814263356,150865.17871214318,148731.2141094706,5,5,8,4,4,4,195.0394304903748,2329.004033162957,0.1292806147550574,1.5659147591229508,40,81,success,12.796194382943211,,
9,Decline products vs decline slope,28,29,1,0,3,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150386.96242250997,150191.9229920196,148620.59761497626,5,5,8,4,4,4,195.0394304903748,1766.3648075337114,0.1298601326921808,1.1885060589715444,40,81,success,9.442800123011692,,
9,Decline products vs decline slope,29,30,1,0,3,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150168.79891131824,149648.83950131017,148887.08560887154,6,5,8,4,4,4,519.9594100080722,1281.713302446704,0.3474530185070495,0.8608626444699057,40,81,success,11.227905250969345,,
9,Decline products vs decline slope,30,31,1,0,3,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150257.3937201039,149614.56174488712,149440.50833845552,7,6,8,4,4,4,642.8319752167736,816.8853816483752,0.4296586961320571,0.5466291507776986,40,81,success,16.075843818951398,,
9,Decline products vs decline slope,31,32,1,0,3,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150947.98681788615,149826.1246616413,150040.01912294675,8,7,8,4,4,4,1121.8621562448388,907.967694939376,0.7487760621042476,0.605150346052251,40,81,success,12.859017460956238,,
9,Decline products vs decline slope,32,33,0,0,4,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082784,133615.26315082784,129615.26315082752,4,4,8,4,4,4,0.0,4000.00000000032,0.0,3.0860563044536646,40,81,success,7.793049440020695,,
9,Decline products vs decline slope,33,34,0,0,4,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082874,133615.26315082874,129615.26315082936,4,4,8,4,4,4,0.0,3999.999999999389,0.0,3.086056304452902,40,81,success,6.509537306032144,,
9,Decline products vs decline slope,34,35,0,0,4,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082825,133615.26315082825,129615.26315082936,4,4,8,4,4,4,0.0,3999.999999998894,0.0,3.0860563044525207,40,81,success,6.433844337007031,,
9,Decline products vs decline slope,35,36,0,0,4,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133460.25404826095,133460.25404826095,129607.81487342196,4,4,8,4,4,4,0.0,3852.4391748389753,0.0,2.9723818572216167,40,81,success,6.500743082957342,,
9,Decline products vs decline slope,36,37,0,0,4,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,132816.37325409558,132816.37325409558,129570.88358101566,4,4,8,4,4,4,0.0,3245.489673079923,0.0,2.504798596245308,40,81,success,6.678981803008355,,
9,Decline products vs decline slope,37,38,0,0,4,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,132247.7421627032,132247.7421627032,130065.8812455301,4,4,8,4,4,4,0.0,2181.860917173093,0.0,1.6775044279708642,40,81,success,8.756616720929742,,
9,Decline products vs decline slope,38,39,0,0,4,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,131887.78012263458,131887.78012263458,131017.206268659,4,4,8,4,4,4,0.0,870.5738539755694,0.0,0.6644729183054041,40,81,success,8.905656915041618,,
9,Decline products vs decline slope,39,40,0,0,4,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133080.58758760482,132075.78970671023,132086.17044917808,8,8,8,4,4,4,1004.7978808945918,994.4171384267393,0.7607737066163778,0.7528548485016109,40,81,success,8.744316192925908,,
