Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Growth Slope,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Competition Time,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
5,Launch products vs launch time,15,16,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,142295.97902518313,114670.88839487082,91408.77815140715,9,9,8,6,6,4,27625.090630312305,50887.200873775975,24.09076184635887,55.669927880982826,40,81,success,483.4818789900746,,,45,1,300,0.5,15,3,9,9,8,6,6,4,3,300
5,Launch products vs launch time,16,17,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,135264.52879010764,81746.02436213038,71129.80272680463,9,9,8,6,6,4,53518.504427977256,64134.72606330301,65.46924434012011,90.1657583806772,40,81,success,483.4037784610409,,,45,2,300,0.5,15,3,9,9,8,6,6,4,3,300
5,Launch products vs launch time,17,18,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128521.82802858582,54722.0122114167,52181.77373195914,9,7,8,6,5,4,73799.81581716912,76340.05429662668,134.8631251571049,146.29639591931237,40,81,success,483.4479091200046,,,45,3,300,0.5,15,3,9,7,8,6,5,4,3,300
5,Launch products vs launch time,18,19,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,121703.40341602656,47890.41846460223,34451.80082611801,10,2,8,6,1,4,73812.98495142433,87251.60258990855,154.12892039350737,253.257015591948,40,81,success,304.0941880639876,,,45,4,300,0.5,15,3,10,2,8,6,1,4,3,300
5,Launch products vs launch time,19,20,1,3,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,96401.16558572854,47581.41403482343,18248.09504343351,9,1,8,6,1,4,48819.75155090511,78153.07054229503,102.60256560508138,428.28070741783006,40,81,success,304.2222015929874,,,45,5,300,0.5,15,3,9,1,8,6,1,4,3,300
5,Launch products vs launch time,20,21,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,122042.10337617868,85413.76429855774,57038.69535365136,10,9,8,7,6,4,36628.33907762094,65003.40802252732,42.88341507767903,113.9637006412807,40,81,success,483.4889406970469,,,45,1,300,0.5,15,3,10,9,8,7,6,4,3,300
5,Launch products vs launch time,21,22,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,112369.06125253555,44338.21828975598,28969.71619354325,10,9,8,7,6,4,68030.84296277957,83399.3450589923,153.4361225753124,287.8845774732867,40,81,success,483.3725948691135,,,45,2,300,0.5,15,3,10,9,8,7,6,4,3,300
5,Launch products vs launch time,22,23,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103552.869516816,6578.188625384908,2777.042073111632,9,4,8,6,4,4,96974.6808914311,100775.82744370437,1474.185165764486,3628.890913085325,40,81,success,483.4278239260893,,,45,3,300,0.5,15,3,9,4,8,6,4,4,3,300
5,Launch products vs launch time,23,24,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,95941.8177664432,-0.0,-21692.13560071653,9,0,8,6,0,4,95941.8177664432,117633.95336715973,0.0,0.0,40,81,success,303.62206225201953,,,45,4,300,0.5,15,3,9,0,8,6,0,4,3,300
5,Launch products vs launch time,24,25,0,4,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,63378.42093344976,-0.0,-44164.86907455241,9,0,8,6,0,4,63378.42093344976,107543.29000800216,0.0,0.0,40,81,success,303.5422365979757,,,45,5,300,0.5,15,3,9,0,8,6,0,4,3,300
2,Launch products vs net revenue,0,1,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,44974.93235215096,44974.93235215096,42311.17145251532,4,4,8,4,4,4,0.0,2663.7608996356357,0.0,6.295644408297959,40,81,success,10.045675900997594,,,45,3,100,0.5,15,3,4,4,8,4,4,4,3,100
2,Launch products vs net revenue,1,2,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,117406.20640257132,117406.18852822384,116078.66672895256,4,4,8,4,4,4,0.017874347482575104,1327.539673618754,1.5224365688592475e-05,1.1436551702636426,40,81,success,53.88777886796743,,,45,3,200,0.5,15,3,4,4,8,4,4,4,3,200
2,Launch products vs net revenue,2,3,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,193.67499393003527,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
