analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,competition_time,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
6,Decline products vs competition time,10,11,2,0,2,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,159878.06334254835,159738.52845882744,158477.80313811277,6,6,8,4,4,4,139.5348837209167,1400.260204435588,0.0873520527997613,0.883568661798818,40,81,success,47.032326952088624,,
6,Decline products vs competition time,11,12,2,0,2,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,164902.44048710546,164633.10571155112,163248.85356345214,6,6,8,4,4,4,269.3347755543364,1653.586923653318,0.1635969718181894,1.0129240650444116,40,81,success,18.27586300694384,,
6,Decline products vs competition time,12,13,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169600.14045494088,169210.0615939601,167763.1717343136,6,6,8,4,4,4,390.0788609807787,1836.9687206272797,0.2305293534593822,1.0949773431420844,40,81,success,12.963585151010191,,
6,Decline products vs competition time,13,14,2,0,2,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,173942.45087145586,173440.0519310086,172048.51552490925,6,6,8,4,4,4,502.3989404472522,1893.935346546612,0.2896671990429855,1.1008146979753552,40,81,success,15.177818905911408,,
6,Decline products vs competition time,14,15,2,0,2,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,176855.72018459547,176353.32124414822,175290.02245138495,6,6,8,4,4,4,502.3989404472522,1565.6977332105162,0.2848820407253447,0.8932041375285622,40,81,success,54.8908108730102,,
6,Decline products vs competition time,15,16,1,0,3,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,138902.1657672202,134592.8949746678,132111.6805130727,8,5,8,4,4,4,4309.270792552386,6790.4852541474975,3.201707484903604,5.139958274526351,40,81,success,50.32975935004652,,
6,Decline products vs competition time,16,17,1,0,3,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,143419.2817661694,143284.61437839226,140716.12295969776,5,5,8,4,4,4,134.66738777715364,2703.158806471649,0.0939859372629626,1.9210014812914191,40,81,success,10.760533306049185,,
6,Decline products vs competition time,17,18,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,10.28049039898906,,
6,Decline products vs competition time,18,19,1,0,3,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,159285.0003925982,159033.80092237456,156422.42737717534,5,5,8,4,4,4,251.1994702236261,2862.5730154228518,0.1579535097361084,1.8300272303794645,40,81,success,8.463117648032494,,
6,Decline products vs competition time,19,20,1,0,3,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,165718.50240961602,165467.3029393924,163214.62736822426,5,5,8,4,4,4,251.1994702236261,2503.8750413917587,0.1518121500509595,1.5340996586922515,40,81,success,23.160455646924675,,
6,Decline products vs competition time,20,21,0,0,4,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,112436.65865331783,109418.88714147272,105418.88714147249,8,4,8,4,4,4,3017.7715118451306,7017.771511845363,2.757998724610784,6.657034334300543,40,81,success,57.282866361085325,,
6,Decline products vs competition time,21,22,0,0,4,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,121911.87928156897,121911.87928156897,117911.8792815692,4,4,8,4,4,4,0.0,3999.999999999738,0.0,3.392363877474877,40,81,success,5.985224843025208,,
6,Decline products vs competition time,22,23,0,0,4,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082874,133615.26315082874,129615.26315082834,4,4,8,4,4,4,0.0,4000.000000000408,0.0,3.0860563044537126,40,81,success,6.839215971995145,,
