analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,compete_products,established_demand,launch_demand,compete_demand,profit_established,profit_launch,profit_compete,probability_launch,availability,analysis11_mode,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
11,Product-mix + seven-factor full factorial design,25,26,4,0,0,0,30,30,10,300,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,12.271975171053782,,
11,Product-mix + seven-factor full factorial design,26,27,4,0,0,0,30,30,10,300,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.706032456015237,,
11,Product-mix + seven-factor full factorial design,27,28,4,0,0,0,30,30,10,300,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,12.652908524032682,,
11,Product-mix + seven-factor full factorial design,28,29,4,0,0,0,30,30,10,600,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048442,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.8340558212367,467.4422659683624,0.1217055107760831,0.1135819003287185,40,81,success,10.09940095595084,,
11,Product-mix + seven-factor full factorial design,29,30,4,0,0,0,30,30,10,600,600,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,10.26162188500166,,
11,Product-mix + seven-factor full factorial design,30,31,4,0,0,0,30,30,10,600,600,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.598512056050822,,
11,Product-mix + seven-factor full factorial design,31,32,4,0,0,0,30,30,10,600,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,10.028933778987266,,
11,Product-mix + seven-factor full factorial design,32,33,4,0,0,0,15,30,25,300,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964725005,92097.13338372702,8,5,8,4,3,4,11540.034391438676,19373.5206549617,11.54804646681308,21.035964902665334,40,81,success,29.229465262964368,,
11,Product-mix + seven-factor full factorial design,33,34,4,0,0,0,15,30,25,300,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,27.551904321997423,,
11,Product-mix + seven-factor full factorial design,34,35,4,0,0,0,15,30,25,300,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,30.16946382995229,,
11,Product-mix + seven-factor full factorial design,35,36,4,0,0,0,15,30,25,300,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,111470.65403868872,99930.61964724991,92097.13338372702,8,5,8,4,3,4,11540.034391438792,19373.5206549617,11.54804646681321,21.035964902665334,40,81,success,29.405767314019613,,
11,Product-mix + seven-factor full factorial design,36,37,4,0,0,0,15,30,25,600,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,30.619832723983563,,
