analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,decline_demand_level,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
8,Decline products vs decline demand level,10,11,3,0,1,25,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,189592.02528203887,188921.9022080436,188897.45978601495,8,7,8,4,4,4,670.123073995288,694.5654960238899,0.3547090444057347,0.36769446069349,40,81,success,139.7241644889582,,
8,Decline products vs decline demand level,11,12,3,0,1,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192480.98617187227,190719.42698108847,190079.2437925618,8,4,8,5,4,4,1761.5591907837952,2401.742379310453,0.9236390957479488,1.263547945261995,40,81,success,186.426436081063,,
8,Decline products vs decline demand level,12,13,2,0,2,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,144825.8109541232,144435.73208551673,142488.36932664085,6,6,8,4,4,4,390.078868606477,2337.44162748236,0.2700708910282126,1.6404438050126042,40,81,success,7.426892940886319,,
8,Decline products vs decline demand level,13,14,2,0,2,10,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,157418.775268948,157028.69640796722,155169.72906571018,6,6,8,4,4,4,390.0788609807787,2249.0462032378127,0.2484124684875032,1.449410408060584,40,81,success,8.243483697995543,,
8,Decline products vs decline demand level,14,15,2,0,2,15,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169600.14045494088,169210.0615939601,167763.1717343136,6,6,8,4,4,4,390.0788609807787,1836.9687206272797,0.2305293534593822,1.0949773431420844,40,81,success,9.112364397151396,,
8,Decline products vs decline demand level,15,16,2,0,2,20,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,180527.60236508772,179777.47792295754,179189.12050394272,7,6,8,4,4,4,750.1244421302108,1338.481861145032,0.4172516217252039,0.7469660308509529,40,81,success,20.64494880894199,,
8,Decline products vs decline demand level,16,17,2,0,2,25,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,188104.0831043521,187537.9929763183,187186.74952780295,7,7,8,4,4,4,566.0901280338294,917.3335765491356,0.3018535706017252,0.490063307826649,40,81,success,54.26672993390821,,
8,Decline products vs decline demand level,17,18,2,0,2,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192732.5872839359,191586.9198810828,190327.79435139697,8,4,8,5,4,4,1145.6674028531124,2404.792932538927,0.5979883196432322,1.2635006572392806,40,81,success,177.91298538912088,,
8,Decline products vs decline demand level,18,19,1,0,3,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,113730.95501680084,113535.91558631044,110574.82285682812,5,5,8,4,4,4,195.03943049038932,3156.1321599726944,0.1717865483210197,2.854295470189668,40,81,success,5.803263182984665,,
8,Decline products vs decline demand level,19,20,1,0,3,10,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,132729.54090240592,132534.50147191552,129615.2631508266,5,5,8,4,4,4,195.0394304904039,3114.277751579328,0.1471612510888218,2.402709122270117,40,81,success,6.660585737088695,,
8,Decline products vs decline demand level,20,21,1,0,3,15,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,8.191224996000528,,
8,Decline products vs decline demand level,21,22,1,0,3,20,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169922.48652151923,169413.8944791252,167871.18290068806,6,5,8,4,4,4,508.5920423940406,2051.303620831197,0.3002068065064806,1.2219510135010725,40,81,success,10.26879874104634,,
8,Decline products vs decline demand level,22,23,1,0,3,25,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,185253.6514906113,184865.57277180612,184223.12530132988,7,6,8,4,4,4,388.0787188051327,1030.5261892814017,0.2099248188759127,0.5593902435407018,40,81,success,75.70199374505319,,
8,Decline products vs decline demand level,23,24,1,0,3,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192989.75874039065,192486.57681413935,190550.72279753856,8,4,8,5,4,4,503.1819262512727,2439.0359428520896,0.261411436880159,1.2799930155308736,40,81,success,250.36157712899148,,
8,Decline products vs decline demand level,24,25,0,0,4,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,82646.67812884657,82646.67812884657,78646.6781288466,4,4,8,4,4,4,0.0,3999.999999999971,0.0,5.086038082176572,40,81,success,4.256707152118906,,
8,Decline products vs decline demand level,25,26,0,0,4,10,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,108033.93185417703,108033.93185417703,104033.93185417716,4,4,8,4,4,4,0.0,3999.999999999884,0.0,3.844899379182001,40,81,success,5.083231728989631,,
8,Decline products vs decline demand level,26,27,0,0,4,15,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082874,133615.26315082874,129615.26315082936,4,4,8,4,4,4,0.0,3999.999999999389,0.0,3.086056304452902,40,81,success,5.596105427015573,,
8,Decline products vs decline demand level,27,28,0,0,4,20,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,159117.70954433078,159117.70954433078,155194.41621908487,4,4,8,4,4,4,0.0,3923.293325245904,0.0,2.527986135601341,40,81,success,6.794334559002891,,
8,Decline products vs decline demand level,28,29,0,0,4,25,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,182010.7056253624,182010.7056253624,179828.9806737989,4,4,8,4,4,4,0.0,2181.724951563461,0.0,1.213222108799585,40,81,success,17.23799500684254,,
8,Decline products vs decline demand level,29,30,0,0,4,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,193440.8761434505,193440.8761434505,190734.1914221947,4,4,8,4,4,4,0.0,2706.6847212557914,0.0,1.4190873178393484,40,81,success,196.56768658314832,,
