analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,growth_slope,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
4,Launch products vs growth slope,10,11,3,1,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,172618.86978879737,150884.62221935063,150936.5947921536,8,8,8,5,4,4,21734.247569446718,21682.27499664377,14.404547825854808,14.365154471982905,40,81,success,359.7557937640231,,
4,Launch products vs growth slope,11,12,3,1,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171902.7589670305,150849.6951566435,150888.59563619192,8,8,8,5,4,4,21053.06381038701,21014.16333083858,13.956318432414031,13.926939436500495,40,81,success,369.51704283896834,,
4,Launch products vs growth slope,12,13,3,1,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171462.2062341766,150792.02256625617,150824.7466749272,9,8,8,5,4,4,20670.183667920443,20637.4595592494,13.707743497397692,13.683072582067282,40,81,success,362.3977876950521,,
4,Launch products vs growth slope,13,14,3,1,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171066.9173793534,150697.1459204876,150744.53121263953,9,8,8,5,4,4,20369.771458865813,20322.38616671387,13.51702537857852,13.4813422438836,40,81,success,355.4817322699819,,
4,Launch products vs growth slope,14,15,3,1,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,170638.14738279957,150574.73986243745,150628.36140550114,9,8,8,5,4,4,20063.40752036212,20009.785977298423,13.324550677418877,13.284208757626198,40,81,success,363.4692770810798,,
4,Launch products vs growth slope,15,16,3,1,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,170174.38264433178,150437.7585432915,150480.01534150445,9,8,8,5,4,4,19736.624101040277,19694.367302827333,13.11946169110241,13.087696235365389,40,81,success,355.7641735689249,,
4,Launch products vs growth slope,16,17,2,2,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150783.56690509542,104015.70995129144,101586.50539080652,9,8,8,6,5,4,46767.85695380397,49197.061514288886,44.96230134438776,48.42873699122361,40,81,success,385.82087763305753,,
4,Launch products vs growth slope,17,18,2,2,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150122.36990857258,103632.9325520616,101586.50539080656,9,8,8,6,5,4,46489.437356510985,48535.86451776602,44.85971419669737,47.7778660965322,40,81,success,398.45829301606864,,
4,Launch products vs growth slope,18,19,2,2,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,149277.9877780049,103375.3409476292,101586.50539080672,9,8,8,6,5,4,45902.646830375685,47691.48238719816,44.40386499293902,46.94667092221296,40,81,success,389.6262710241135,,
4,Launch products vs growth slope,19,20,2,2,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,148181.2427051444,103006.888612457,101582.809355201,9,8,8,6,5,4,45174.3540926874,46598.4333499434,43.85566315146839,45.872361323464006,40,81,success,399.2237072370481,,
