Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Competition Time,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Growth Slope,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
7,Decline products vs net revenue,6,7,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,532239.8143889179,510716.2302252341,484916.143111137,12,8,8,8,5,4,21523.584163683758,47323.6712777809,4.214392041974368,9.759145359476078,40,81,success,331.11695063090883,,,45,0.5,3,700,0.5,15,12,8,8,8,5,4,3,700
7,Decline products vs net revenue,7,8,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,626686.372282314,592721.4637974002,558683.6383875759,12,8,8,8,5,4,33964.90848491376,68002.73389473814,5.730332130594717,12.171957297872856,40,81,success,332.0270129039418,,,45,0.5,3,800,0.5,15,12,8,8,8,5,4,3,800
7,Decline products vs net revenue,8,9,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,721191.0469277676,674726.6973695582,632451.1336640102,12,8,8,8,5,4,46464.34955820942,88739.91326375736,6.886395593853341,14.03110984237724,40,81,success,327.9507343140431,,,45,0.5,3,900,0.5,15,12,8,8,8,5,4,3,900
7,Decline products vs net revenue,9,10,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,815644.0622380608,756731.9309417232,706218.6289404491,12,8,8,8,5,4,58912.13129633758,109425.43329761166,7.785072743398544,15.494554917332662,40,81,success,326.8654431849718,,,45,0.5,3,1000,0.5,15,12,8,8,8,5,4,3,1000
7,Decline products vs net revenue,10,11,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,41639.48438370437,41102.1793448841,40174.27647559881,7,6,8,4,4,4,537.3050388202755,1465.2079081055635,1.307242212905075,3.64712954817122,40,81,success,16.043723456095904,,,45,0.5,3,100,0.5,15,7,6,8,4,4,4,3,100
7,Decline products vs net revenue,11,12,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,113150.17429985949,112603.78125849408,111804.87677511954,7,7,8,4,4,4,546.3930413654016,1345.2975247399445,0.4852350740434707,1.203254780599432,40,81,success,15.891373557969928,,,45,0.5,3,200,0.5,15,7,7,8,4,4,4,3,200
7,Decline products vs net revenue,12,13,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160152,184133.8337997025,183435.4770746405,7,7,8,4,4,4,527.0304163127148,1225.3871413746965,0.2862213887785287,0.6680207999655826,40,81,success,39.353358758147806,,,45,0.5,3,300,0.5,15,7,7,8,4,4,4,3,300
7,Decline products vs net revenue,13,14,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,256171.55413216967,255663.8863409108,255066.077374161,7,7,8,4,4,4,507.6677912588639,1105.4767580086773,0.198568440198833,0.4334079895646153,40,81,success,54.03963902080432,,,45,0.5,3,400,0.5,15,7,7,8,4,4,4,3,400
7,Decline products vs net revenue,14,15,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,329127.8662433284,327193.93888212164,326696.6776736822,9,7,8,5,4,4,1933.9273612067336,2431.188569646154,0.5910645434979989,0.7441730313751531,40,81,success,124.94833413604648,,,45,0.5,3,500,0.5,15,9,7,8,5,4,4,3,500
7,Decline products vs net revenue,15,16,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,405979.9076509564,398723.991423327,398327.2779732029,9,7,8,5,4,4,7255.916227629408,7652.629677753546,1.819784207548668,1.921191467652464,40,81,success,113.51358298095874,,,45,0.5,3,600,0.5,15,9,7,8,5,4,4,3,600
7,Decline products vs net revenue,16,17,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,488726.0356532141,470254.0439645346,469957.8782727242,14,7,8,7,4,4,18471.991688679496,18768.157380489865,3.928087791217933,3.9935828822510766,40,81,success,313.6093409738969,,,45,0.5,3,700,0.5,15,14,7,8,7,4,4,3,700
7,Decline products vs net revenue,17,18,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,576330.406820832,544349.1335248431,541588.4785722438,15,8,8,8,5,4,31981.27329598891,34741.92824858823,5.875139928835643,6.414820407586258,40,81,success,318.4139801131096,,,45,0.5,3,800,0.5,15,15,8,8,8,5,4,3,800
7,Decline products vs net revenue,18,19,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,664920.1648688818,620311.7014879711,613219.0788717668,15,8,8,8,5,4,44608.46338091069,51701.085997115006,7.191298064167781,8.431095472801895,40,81,success,320.6242317198776,,,45,0.5,3,900,0.5,15,15,8,8,8,5,4,3,900
7,Decline products vs net revenue,19,20,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,753384.1821589142,696266.5181010307,684849.6791712863,15,8,8,8,5,4,57117.664057883434,68534.50298762787,8.203419606282928,10.007232984406036,40,81,success,315.4081102099736,,,45,0.5,3,1000,0.5,15,15,8,8,8,5,4,3,1000
7,Decline products vs net revenue,20,21,2,0,2,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,37155.883509686486,36765.80464870569,34950.174695490095,6,6,8,4,4,4,390.07886098079325,2205.7088141963904,1.0609827928640905,6.311009411008783,40,81,success,9.030700837029144,,,45,0.5,3,100,0.5,15,6,6,8,4,4,4,3,100
