analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
10,Probability of launch OFAT,14,15,2,2,0,1.0,0.4,40,0,73,False,8,300.0,180.0,180.0,60.0,127704.048103609,104459.584167778,116797.1902679496,7,2,8,3,2,4,23244.46393583101,10906.857835659408,22.252112260467037,9.33828785661496,40,81,success,55.29776919307187,,
10,Probability of launch OFAT,15,16,2,2,0,1.0,0.6,40,0,73,False,8,300.0,180.0,180.0,60.0,150912.21000608167,107412.75300381344,116797.1902679496,8,4,8,4,2,4,43499.457002268246,34115.01973813208,40.49747891735342,29.2087674882138,40,81,success,69.44952541589737,,
10,Probability of launch OFAT,16,17,2,2,0,1.0,0.8,40,0,73,False,8,300.0,180.0,180.0,60.0,167264.7250228203,111838.16053443422,116797.1902679496,10,6,8,5,3,4,55426.56448838607,50467.53475487069,49.5596174181715,43.20954522886286,40,81,success,116.63343959790654,,
10,Probability of launch OFAT,17,18,2,2,0,1.0,1.0,40,0,73,False,8,300.0,180.0,180.0,60.0,168762.7026849194,118049.10259639817,116797.1902679496,10,6,8,5,4,4,50713.600088521256,51965.51241696981,42.9597506233551,44.49209120335295,40,81,success,267.58382402407005,,
10,Probability of launch OFAT,18,19,1,3,0,1.0,0.0,40,0,73,False,8,300.0,180.0,180.0,60.0,52229.79208388934,52229.79208388934,67436.39561483162,1,1,8,1,1,4,0.0,-15206.60353094228,0.0,-22.549549679072435,3,81,success,2.555964773055166,,
10,Probability of launch OFAT,19,20,1,3,0,1.0,0.2,40,0,73,False,8,300.0,180.0,180.0,60.0,52229.79208388934,52229.79208388934,67436.39561483162,1,1,8,1,1,4,0.0,-15206.60353094228,0.0,-22.549549679072435,40,81,success,6.491457577096298,,
10,Probability of launch OFAT,20,21,1,3,0,1.0,0.4,40,0,73,False,8,300.0,180.0,180.0,60.0,73843.88640040052,52229.79208388934,67436.39561483162,5,1,8,2,1,4,21614.09431651117,6407.490785568894,41.382692624537945,9.50153211355748,40,81,success,11.945836361963302,,
10,Probability of launch OFAT,21,22,1,3,0,1.0,0.6,40,0,73,False,8,300.0,180.0,180.0,60.0,95507.50657802002,53665.122272719695,67436.39561483162,8,2,8,3,1,4,41842.38430530033,28071.110963188403,77.96941949123374,41.626054754644365,40,81,success,52.07126965303905,,
10,Probability of launch OFAT,22,23,1,3,0,1.0,0.8,40,0,73,False,8,300.0,180.0,180.0,60.0,139870.1971667836,62779.28249288202,67436.39561483162,10,6,8,5,3,4,77090.91467390157,72433.80155195197,122.79674378668189,107.41054721498378,40,81,success,325.6124574339483,,
10,Probability of launch OFAT,23,24,1,3,0,1.0,1.0,40,0,73,False,8,300.0,180.0,180.0,60.0,145207.4473772211,73027.51720490924,67436.39561483162,9,8,8,6,5,4,72179.9301723119,77771.05176238951,98.83935937433137,115.32504229108731,40,81,success,321.71636619395576,,
10,Probability of launch OFAT,24,25,0,4,0,1.0,0.0,40,0,73,False,8,300.0,180.0,180.0,60.0,-0.0,-0.0,18031.663955983797,0,0,8,0,0,4,0.0,0.0,0.0,0.0,1,81,success,2.4489075569435954,,
10,Probability of launch OFAT,25,26,0,4,0,1.0,0.2,40,0,73,False,8,300.0,180.0,180.0,60.0,-0.0,-0.0,18031.663955983797,0,0,8,0,0,4,0.0,0.0,0.0,0.0,40,81,success,3.5401871050708,,
10,Probability of launch OFAT,26,27,0,4,0,1.0,0.4,40,0,73,False,8,300.0,180.0,180.0,60.0,20858.659608110007,-0.0,18031.663955983797,4,0,8,1,0,4,0.0,2826.995652126214,0.0,15.677952179161355,40,81,success,4.220886752940714,,
10,Probability of launch OFAT,27,28,0,4,0,1.0,0.6,40,0,73,False,8,300.0,180.0,180.0,60.0,64990.86053285783,-0.0,18031.663955983797,9,0,8,3,0,4,0.0,46959.196576874034,0.0,260.4263072531954,40,81,success,41.38758939807303,,
10,Probability of launch OFAT,28,29,0,4,0,1.0,0.8,40,0,73,False,8,300.0,180.0,180.0,60.0,126252.86402201687,18031.66395598385,18031.663955983797,9,8,8,6,4,4,108221.20006603302,108221.20006603308,600.1731195202291,600.1731195202314,40,81,success,326.2556485850364,,
10,Probability of launch OFAT,29,30,0,4,0,1.0,1.0,40,0,73,False,8,300.0,180.0,180.0,60.0,126252.8640220146,24940.06110042389,18031.663955983797,9,7,8,6,5,4,101312.80292159072,108221.2000660308,406.2251592473796,600.1731195202187,40,81,success,457.42850111285225,,
