analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,net_revenue,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
7,Decline products vs net revenue,20,21,2,0,2,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,37155.883509686486,36765.80464870569,34950.174695490095,6,6,8,4,4,4,390.07886098079325,2205.7088141963904,1.0609827928640905,6.311009411008783,40,81,success,9.030700837029144,,
7,Decline products vs net revenue,21,22,2,0,2,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103378.01198231408,102987.9331213333,101356.67321490213,6,6,8,4,4,4,390.0788609807787,2021.338767411973,0.3787617142691994,1.9942828659403775,40,81,success,9.01071480102837,,
7,Decline products vs net revenue,22,23,2,0,2,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169600.14045494088,169210.0615939601,167763.1717343136,6,6,8,4,4,4,390.0788609807787,1836.9687206272797,0.2305293534593822,1.0949773431420844,40,81,success,9.180620515951889,,
7,Decline products vs net revenue,23,24,2,0,2,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,235822.2689275693,235432.1900665885,234169.67025372613,6,6,8,4,4,4,390.0788609807787,1652.5986738431675,0.1656862899123737,0.705727036320525,40,81,success,17.413985665887594,,
7,Decline products vs net revenue,24,25,2,0,2,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,302044.3974002013,301654.3185392205,300576.1687731405,6,6,8,4,4,4,390.0788609808078,1468.2286270607729,0.1293132028972065,0.4884714024580293,40,81,success,30.80806775088422,,
7,Decline products vs net revenue,25,26,2,0,2,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,368683.2728115206,367876.4470118421,366982.6672925491,8,6,8,5,4,4,806.8257996785105,1700.6055189715116,0.2193197760368003,0.4634021359967479,40,81,success,87.66215011803433,,
7,Decline products vs net revenue,26,27,2,0,2,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,444011.7604414589,434098.5754844697,433389.165811964,12,6,8,7,4,4,9913.184956989193,10622.59462949494,2.2836253138876854,2.451052187609092,40,81,success,218.54057747498155,,
7,Decline products vs net revenue,27,28,2,0,2,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,522461.8076821842,500320.7039570989,499795.66433137417,12,6,8,7,4,4,22141.10372508533,22666.143350810104,4.425382269805861,4.535082028199031,40,81,success,308.00950858485885,,
7,Decline products vs net revenue,28,29,2,0,2,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,600799.4941679398,566542.8324297314,566202.1628507923,12,6,8,7,4,4,34256.66173820838,34597.33131714747,6.046614620697236,6.110420197434797,40,81,success,308.2822500749025,,
7,Decline products vs net revenue,29,30,2,0,2,1000,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,679375.5601589404,633435.75004525,632608.6613702029,12,7,8,7,4,4,45939.81011369033,46766.89878873748,7.252481425370856,7.392706051074674,40,81,success,314.54445991804823,,
7,Decline products vs net revenue,30,31,1,0,3,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,31697.892002769782,31502.852572279386,28629.53799182453,5,5,8,4,4,4,195.03943049039663,3068.3540109452515,0.6191167293276152,10.717441587151889,40,81,success,6.918696701992303,,
7,Decline products vs net revenue,31,32,1,0,3,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,91657.06839897108,91462.02896848068,88715.39980757097,5,5,8,4,4,4,195.0394304904039,2941.6685914001137,0.2132463413397681,3.315848880555991,40,81,success,6.84547104802914,,
7,Decline products vs net revenue,32,33,1,0,3,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,8.103934383019805,,
7,Decline products vs net revenue,33,34,1,0,3,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,211575.4211913737,211380.3817608833,208887.12343906387,5,5,8,4,4,4,195.0394304903748,2688.2977523097943,0.092269409708516,1.286961928552776,40,81,success,9.10388096095994,,
7,Decline products vs net revenue,34,35,1,0,3,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,271534.5975875794,271339.558157089,268972.9852548138,5,5,8,4,4,4,195.0394304904039,2561.612332765595,0.0718802049413996,0.9523678856963388,40,81,success,13.197417516028509,,
7,Decline products vs net revenue,35,36,1,0,3,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,331493.7739837746,331298.7345532842,329058.84707055514,5,5,8,4,4,4,195.0394304904039,2434.926913219446,0.0588711667593269,0.7399670104287945,40,81,success,57.41914701112546,,
7,Decline products vs net revenue,36,37,1,0,3,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,398001.4963740393,391257.9109494869,389144.7088863031,10,5,8,6,4,4,6743.585424552439,8856.787487736263,1.7235652585751973,2.275962459590826,40,81,success,154.80146315600723,,
7,Decline products vs net revenue,37,38,1,0,3,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,466248.1342051438,451217.0873456885,449230.5707020497,10,5,8,6,4,4,15031.046859455297,17017.563503094134,3.331222881623639,3.7881579333524393,40,81,success,246.72639886988327,,
7,Decline products vs net revenue,38,39,1,0,3,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,538279.8457665702,511176.2637418881,509316.4325177948,11,5,8,7,4,4,27103.58202468214,28963.413248775352,5.302198859211457,5.686722712949853,40,81,success,298.4113251538947,,
7,Decline products vs net revenue,39,40,1,0,3,1000,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,609681.3408155306,571233.6720943378,569402.2943335494,11,6,8,7,4,4,38447.66872119287,40279.046481981175,6.73063767061045,7.073917137816476,40,81,success,306.1076694589574,,
